Station,Lat,Lon,Met_Station,GPS_Height,Met_Height,Distance,Region_Code,Combination,Combinations,GPS_Data_Span,Met_Span_Acceptable,Reason,End Result,
BRAE,57.0067,356.6044,_117_WMO_03065_,347.9083,1237,19.2566,8,,,,,,,
BRAE,57.0067,356.6044,_113_WMO_03063_,347.9083,228,34.2743,8,,,2005 to present,yes,,,
BRAZ,-15.9475,312.1221,_19134_WMO_83378_,1118.696,1061,10.7294,3,,,,,,,
BRAZ,-15.9475,312.1221,_18635_WMO_83377_,1118.696,1158,19.24,3,,,1997 to present,NO,inadequate data span (1997 to 2001),,
BRAZ,-15.9475,312.1221,_20855_WMO_83379_,1118.696,912,74.4213,3,,,1997 to present,NO,Too far away,,
BREC,51.9529,356.6183,_1243_DCNN_8315_,189.581,152,15.6504,6,,,2005 to present,yes,No data ,,
BREC,51.9529,356.6183,_16611_WMO_03507_,189.5537,307,20.0529,8,,,2005 to present,yes,,,
BRFT,-3.8774,321.5745,_20831_WMO_82398_,30.1888,25,15.9083,3,,,2006 to present,yes,,,
BRMU,32.3704,295.3037,_17879_WMO_78016_,22.7822,6,1.3042,4,,,1997 to present,yes,,,
BRST,48.3805,355.5034,_17127_WMO_07110_,14.3663,99,9.6769,6,,,1999 to present,yes,,,
BRUS,50.7978,4.3592,_17120_WMO_06447_,104.156,100,0.7311,6,,,1997 to present,yes,,,
BUCK,57.6761,357.0385,_137_WMO_03068_,31.1336,7,21.8019,8,,,2006 to present,yes,,,
BUE2,-34.5737,301.4807,_18780_WMO_87582_,32.4735,6,9.408,3,,,2005 to present,yes,,,
BUT1,58.5156,353.7391,_55_WMO_03025_,58.8862,16,0.0594,8,,,,,,,
BUT1,58.5156,353.7391,_54_WMO_03026_,58.8862,15,33.7627,8,,,2000 to 2007,yes,,,
BUXT,53.2292,358.0801,_539_DCNN_4112_,391.0665,307,3.207,6,,,2009 to present,yes,No data,,
BUXT,53.2292,358.0801,_30690_WMO_03330_,391.0548,298,12.009,8,,,2009 to present,yes,,,
CAGL,39.1359,8.9728,_30017_WMO_16546_,191.7996,28,23.8406,6,,,1997 to present,NO,inadequate data span (2003 to present),,
CAGL,39.1359,8.9728,_16977_WMO_16560_,191.7996,4,15.0359,6,,,1997 to present,yes,"adequate data span, data gap (1999 to 2001)",This time series has more years of data,
CAGL,39.1359,8.9728,_19366_WMO_16564_,191.7996,116,47.1811,6,,,1997 to present,NO,"adequate data span, data gap (1999 to 2001)",,
CAGZ,39.1359,8.9728,_16977_WMO_16560_,191.431,4,15.0377,6,,,2002 to present,yes,"adequate data span 1997 - 2012, measurements every 3hrs",,
CAMB,50.2184,354.6726,_1395_WMO_03808_,86.2458,87,0.0902,8,,,1998 to 2010,yes,,,
CAML,55.4252,354.3981,_908_WMO_03111_,11.451,10,6.1743,8,yes,camp caml,2009 to present,yes,,,
CAMO,50.2183,354.6727,_1395_WMO_03808_,87.6494,87,0.0772,8,,,2009 to present,yes,,,
CAMP,55.4252,354.3981,_908_WMO_03111_,11.3621,10,6.1743,8,yes,camp caml,2007 to 2008,yes,,,
CARD,52.1046,359.5789,_18916_ICAO_EGTC_,29.0398,111,11.1168,8,,,,,,,
CARD,52.1046,359.5789,_461_WMO_03560_,29.0398,85,13.8854,8,,,2003 to present,yes,,,
CARF,51.5311,356.8932,_1271_WMO_03717_,41.7341,52,7.7323,8,,,,,,,
CARF,51.5311,356.8932,_19206_WMO_03716_,41.7341,49,27.011,8,yes,carf cari,2005 to 2008,yes,,,
CARI,51.5311,356.8932,_19206_WMO_03716_,41.7484,49,27.0111,8,yes,carf cari,2009 to present,yes,,,
CARL,54.8954,357.0617,_1070_WMO_03220_,40.6655,28,4.583,8,,,2000 to present,yes,,,
CARM,51.8589,355.6915,_1226_WMO_03605_,27.4755,3,16.6154,8,,,2000 to 2005,yes,,,
CAS1,-66.2834,110.5197,_17919_WMO_89611_,38.5152,42,0.1276,7,,,1997 to present,yes,,,
CAVN,53.9935,352.6352,_1568_WMO_03903_,89.9528,47,48.3064,6,,,2007 to present,yes,,,
CAVN,53.9935,352.6352,_17100_WMO_03974_,89.9307,87,22.7779,6,,,2007 to present,NO,inadequate data span (1997 - 2008),,
CCJM,27.0956,142.1846,_17508_WMO_47971_,160.5829,8,1.4096,2,,,1997 to present,yes,,,
CEDU,-31.8667,133.8098,_17985_WMO_94653_,153.9983,17,29.7378,5,,,1997 to present,yes,,,
CFAG,-31.6022,291.7674,_18763_WMO_87311_,679.5431,598,60.2906,3,,,,,,,
CHAT,-43.9558,183.4342,_17956_WMO_93987_,47.8736,48,0.6507,5,,,1997 to present,yes,,,
CHIO,51.149,358.5617,_847_WMO_03749_,81.2705,90,9.093,8,,,2009 to present,yes,,,
CHPI,-22.6871,315.0148,_21923_WMO_83738_,620.2471,440,57.9113,3,,,,,,,
CHTI,-43.7355,183.3829,_17956_WMO_93987_,64.8935,48,24.2207,5,,,2008 to present,yes,"adequate data span 1997 - 2012, measurements every 3hrs",,
CHUC,52.3588,358.6685,_595_WMO_03544_,109.8092,107,0.1168,8,yes,chuc chuh claw,2004 to 2006,NO,There is a data gap for chuh.,,
CHUC,52.3588,358.6685,_600_ICAO_EGBE_,109.8092,81,10.7233,8,yes ,chuc chuh claw,2004 to 2006,NO,No overlapping data span at all. ,,
CHUC,52.3588,358.6685,_19187_WMO_03535_,109.8092,96,27.7755,8,yes ,chuc chuh claw,2004 to 2006,yes,,,
CHUH,52.3588,358.6685,_595_WMO_03544_,110.3117,107,0.1168,8,yes,chuc chuh claw,2007 to 2008,NO,inadequate data span (only first few months of 2007 present in time series),,
CHUH,52.3588,358.6685,_19187_WMO_03535_,110.3117,96,27.7755,8,yes,chuc chuh claw,2007 to 2008,yes,,,
CHUM,42.9985,74.7511,_17556_WMO_38353_,759.278,760,22.9647,2,,,1997 to present,yes,,,
CHUR,58.7591,265.9113,_17791_WMO_71913_,28.9657,29,3.163,4,,,1997 to present,yes,"adequate data span, data gap (2005)",,
CHUR,58.7591,265.9113,_30768_WMO_71812_,28.9657,10,260.6283,4,,,,,,,
CIC1,31.8707,243.3342,_18510_WMO_72290_,99.3316,5,106.9674,4,,,,,,,
CKSH,53.9438,351.9101,_24090_WMO_03973_,58.5831,203,47.9198,6,,,330 2010 to present,,,,
CLAW,52.3588,358.6685,_595_WMO_03544_,110.3167,107,0.1169,8,yes,chuc chuh claw,2009 to present,NO,There is a data gap for chuh.,,
CLAW,52.3588,358.6685,_19187_WMO_03535_,110.3167,96,27.7755,8,yes,chuc chuh claw,2009 to present,yes,,,
Nothing within 50 km of the station,,,,,,,6,,,330 2010 to present,,,,
COCO,-12.1883,96.834,_18028_WMO_96996_,4.5322,3,1.9403,5,,,1997 to present,yes,,,
COLC,51.8944,0.8972,_440_WMO_03590_,29.9158,89,25.851,8,yes,colc colh,2000 to 2007,yes,,,
COLH,51.8944,0.8972,_440_WMO_03590_,29.9151,89,25.8511,8,yes,colc colh,2008 only,yes,,,
CONZ,-36.8438,286.9745,_19496_WMO_85682_,160.4264,13,9.3132,3,,,2003 to present,yes,,,
CORK,51.8849,351.467,_17090_WMO_03953_,31.2092,25,118.0498,6,,,,,,,
COYQ,-45.5143,288.1079,_24181_WMO_85864_,454.7896,311,18.8061,3,,,1999 to present,yes,"inadequate data span (2000-02 to 2010-10), and data gap in 2006","despite the inadequate data span, this was still the best option",
CRAO,44.4133,33.991,_17066_WMO_33946_,341.5412,180,32.0758,6,,,2000 to present,yes,"adequate data span 1997 - 2012, GPS data gap in 2009",,
CRO1,17.7569,295.4157,_24158_WMO_78543_,13.3422,3,75.8616,4,,,,,,,
CSTB,53.8507,350.7127,_17098_WMO_03970_,52.8626,69,25.0139,6,,,2007 to present,yes,,,
DAEJ,36.3994,127.3745,_22872_WMO_47133_,91.8152,77,11.3039,2,,,1999 to present,yes,,,
DARE,53.3448,357.3595,_1135_WMO_03334_,36.4508,69,24.0228,8,,,2000 to present,NO,inadequate data span,,
DARE,53.3448,357.3595,_1144_WMO_03321_,36.4508,10,29.8189,8,,,2000 to present,yes,,,
DARW,-12.8437,131.1327,_25174_WMO_94125_,74.9583,104,26.1768,5,,,1997 to present,NO,inadequate data span (2000 to 2004),,
DARW,-12.8437,131.1327,_17959_WMO_94120_,74.9583,30,57.2176,5,,,,,,,
DAV1,-68.5773,77.9726,_17917_WMO_89571_,26.7383,23,0.672,7,,,1997 to present,yes,,,
DGAR,-7.2697,72.3702,_20883_WMO_43599_,9.6573,2,738.4163,2,,,,,,,
DNGL,54.6592,351.9123,_24275_WMO_03978_,35.4001,39,20.0526,6,,,330 2010 to present,yes,,,
DRAG,31.5932,35.3921,_21862_WMO_40272_,12.3775,721,55.1168,6,,,,,,,
DRAO,49.3226,240.375,_22203_WMO_71889_,558.1722,344,16.1762,4,,,1997 to present,yes,,,
DROI,52.2553,357.8454,_657_WMO_03529_,51.6066,35,14.2821,8,yes,droi drot drow,2000 to 2005,yes,,,
DROT,52.2518,357.8021,_657_WMO_03529_,37.0729,35,15.8107,8,yes,droi drot drow,2005 to 2008,yes,,,
DROW,52.2518,357.8021,_657_WMO_03529_,37.1055,35,15.8107,8,yes,droi drot drow,2009 to present,yes,,,
DRUM,55.6272,356.2639,_987_WMO_03155_,248.3903,245,0.0789,8,,,2004 to present,yes,,,
DUBO,50.2588,264.1338,_19970_WMO_71143_,274.9967,256,87.3336,4,,,,,,,
DUDE,56.4639,357.1227,_235_WMO_03171_,5.8656,10,9.6835,6,yes,dund dune dude,2011 to present,yes,,,
DUM1,-66.6651,140.0019,_17920_WMO_89642_,40.1028,43,0.6978,7,,,1998 to present,yes,,,
DUND,56.4732,357.0885,_235_WMO_03171_,51.7345,10,11.1081,8,yes,dund dune dude,2005 to 2009,yes,,,
DUNE,56.4651,357.022,_235_WMO_03171_,76.9789,10,12.1426,8,yes,dund dune dude,2010 to present,yes,,,
DUNG,50.9266,0.9765,_743_WMO_03796_,11.0984,117,34.5598,8,,,2004 to present,yes,,,
DUNK,50.8605,356.7601,_1383_WMO_03840_,252.3206,252,0.1103,8,,no more Special Stations Cluster,2005 to present,yes,,,
DVTG,51.1145,1.3225,_743_WMO_03796_,5.3225,117,2.5938,8,,no more Special Stations Cluster,2006 to present,yes,,,
EASI,53.649,0.1164,_405_WMO_03385_,6.5575,8,19.585,8,yes,easi easn,2004 to 2009,yes,,,
EASN,53.649,0.1164,_405_WMO_03385_,6.5705,8,19.585,8,yes,easi easn,2009 to present,yes,,,
EAST,50.7774,0.3063,_808_DCNN_5471_,11.5541,7,2.2889,6,,,,,No data,,
EAST,50.7774,0.3063,_811_WMO_03882_,11.5562,52,12.6031,8,,,2004 to 2008,yes,,,
EDIN,55.9248,356.7052,_19260_WMO_03166_,66.0785,57,3.0301,8,,,2000 to present,yes,,,
EISL,-27.1482,250.6167,_17905_WMO_85469_,119.5422,69,3.3456,3,,,1997 to 2003,yes,,,
ENIS,54.3954,352.3551,_1568_WMO_03903_,49.635,47,0.0478,8,,,2008 to present,yes,,,
EPRT,44.9087,293.0079,_22801_WMO_71607_,53.9642,26,39.8661,4,,,1998 to present,yes,,,
EPRT,44.9087,293.0079,_20552_WMO_72608_,53.9642,24,1.1121,4,,,1998 to 2011,NO,inadequate data span (1997 to 2003),,
ESKD,55.3124,356.7931,_1023_WMO_03162_,243.8504,236,0.1126,8,,,2005 to present,yes,,,
ESMA,55.3163,356.793,_1023_WMO_03162_,270.5092,236,0.5076,8,,,2009 to present,yes,,,
EXMO,50.6134,356.5899,_1371_DCNN_8871_,14.1203,3,9.6865,6,,,,,No data,,
EXMO,50.6134,356.59,_1383_WMO_03840_,14.0929,252,29.9505,8,,,2005 to present,yes,,,
FAIR,64.978,212.5008,_17756_WMO_70261_,307.5391,138,24.9603,4,,,1997 to present,yes,"adequate data span, data gap (1998)",,
FAIR,64.978,212.5008,_20823_WMO_70267_,307.5391,391,137.9335,4,,,,,,,
FALE,-13.8322,188.0005,_20572_WMO_91759_,13.741,1,1.6946,5,,,1997 to present,NO,inadequate data span (2002 to present) ,,
FALE,-13.8322,188.0005,_18831_WMO_91762_,13.741,2,23.6826,5,,,1997 to present,yes,"adequate data span, data gap (1999 - 2002)",This time series has more years of data,
FALE,-13.8322,188.0005,_17935_WMO_91765_,13.741,3,149.2989,5,,,,,,,
FARB,51.2799,359.2273,_869_WMO_03768_,66.368,65,0.1258,8,yes,farn farb,2009 to present,yes,,,
FARN,51.2799,359.2273,_869_WMO_03768_,66.3311,65,0.1258,8,yes,farn farb,2005 to 2008,yes,,,
FAUG,57.1357,355.3115,_105_WMO_03047_,44.6512,249,29.9637,8,,,2007 to present,yes,,,
FLA1,54.1169,359.9223,_373_WMO_03292_,40.7307,15,6.7973,8,,,2000 to 2003,yes,,,
FLIN,54.7256,258.022,_56000_WMO_71331_,342.4875,297,92.9587,4,,,,,,,
FORT,-3.8774,321.5744,_20831_WMO_82398_,27.975,25,15.9019,3,,,,yes,adequate data span (1997 - 2013),,
FOYL,54.9838,352.6634,_1429_WMO_03908_,11.4436,4,22.5631,8,,,2006 to present,yes,,,
FOYL,54.9838,352.6634,_18946_ICAO_EGAE_,11.4436,9,13.178,8,,,2006 to present,NO,inadequate data span (1997 -1997),,
FRAE,57.6936,357.9973,_16581_WMO_03094_,11.2023,4,7.0589,8,yes,fras frae,2009 to present,yes,,,
FRAS,57.6961,357.9988,_16581_WMO_03094_,11.0472,4,7.1362,8,yes,fras frae,2005 to 2008,yes,,,
GALA,-0.7427,269.6964,_21800_WMO_84008_,11.4524,6,85.5855,3,,,,,,,
GIBR,36.1482,354.635,_1585_WMO_08495_,2.6777,3,1.3628,8,,,2009 to present,yes,,,
GIGG,54.0759,357.6912,_1105_DCNN_7236_,232.2373,95,31.1655,6,,,2004 to present,NO,inadequate data span,,
GIGG,54.0759,357.6912,_513_WMO_03344_,232.2267,262,41.4065,8,,,2004 to present,yes,,,
GIR1,57.139,357.9514,_161_WMO_03091_,58.3912,65,11.905,8,,,2000 to 2006,yes,,,
GIRA,55.2434,355.1424,_1007_WMO_03136_,10.1186,27,34.8878,8,yes,girv gira,2009 to present,yes,,,
GIRV,55.2434,355.1424,_1007_WMO_03136_,10.1165,27,34.8876,8,yes,girv gira,2005 to 2008,yes,,,
GLAS,55.854,355.7035,_24125_WMO_03134_,17.1331,59,15.7938,8,,,2000 to present,yes,,,
GLPS,-0.743,269.6963,_21800_WMO_84008_,5.8042,6,85.6047,3,,,,,,,
GLSV,50.3642,30.4967,_17063_WMO_33345_,200.9453,166,6.2617,6,,,1998 to present,yes,,,
GLWY,53.2807,350.9393,_17094_WMO_03962_,28.9733,14,25.4631,6,,,2007 to present,yes,,,
GMAS,27.7648,344.3657,_18192_WMO_60030_,153.6121,47,31.0254,1,,,,yes,adequate data span (1997 - 2013),,
GODE,39.0217,283.1732,_19122_WMO_72406_,47.9414,47,22.6512,4,,,1997 to present,yes,,,
GOLD,35.4252,243.1107,_17830_WMO_72387_,1017.8472,1009,154.1949,4,,,,,,,
GORE,52.5756,1.7319,_429_WMO_03495_,7.2249,17,32.542,8,,,2005 to 2008,,inadequate data span (2005 to 2006),,
GORE,52.5756,1.7319,_421_WMO_03488_,7.2249,21,58.3559,8,yes,gore gors,2005 to 2008,,Too far away,Override to this station b/c we do not want to delete the closest as it is used as the closest station to another GPS site. It will then be successfully rejected based on distance.,
GORS,52.5756,1.7319,_429_WMO_03495_,7.2523,17,32.542,8,,,2009 to present,,inadequate data span (2005 to 2006),,
GORS,52.5756,1.7319,_421_WMO_03488_,7.2523,21,58.3559,8,yes,gore gors,2009 to present,,Too far away,Override to this station b/c we do not want to delete the closest as it is used as the closest station to another GPS site. It will then be successfully rejected based on distance.,
GOUG,-40.3488,350.1193,_17745_WMO_68906_,57.8482,54,0.2333,1,,,1998 to 2008,yes,,,
GUAM,13.5893,144.8684,_22240_WMO_91212_,147.0646,75,16.458,5,,,1997 to present,yes,inadequate data span (1998-01 to 2010-10) ,"Despite the inadequate data span, this was still the best option",
GUAT,14.5904,269.4798,_23483_WMO_78641_,1517.325,1489,34.5854,4,,,2000 to present,yes,data gaps (data span (1997-01 to 2010-10),"Despite data gaps , this was the best option",
GUUG,13.4332,144.8027,_22240_WMO_91212_,80.4462,75,4.3255,5,,,2003 to present,yes,,,
HARB,-25.887,27.7072,_18473_WMO_68368_,1532.8485,1700,59.3106,1,,,,,,,
HARD,50.9497,359.4713,_795_WMO_03876_,20.2752,2,20.9226,8,,,2004 to present,yes,,,
HELM,58.1153,356.3506,_79_WMO_03062_,14.8293,4,37.8907,8,yes,helm hels,2007 to 2008 ,yes,,,
HELM,58.1153,356.3506,_137_WMO_03068_,14.8399,7,48.9488,8,,,,,Too far away,,
HELS,58.1153,356.3506,_79_WMO_03062_,14.8399,4,37.8907,8,yes,helm hels,2009 to present,yes,,,
HELS,58.1153,356.3506,_137_WMO_03068_,14.8399,7,48.9488,8,,,,,Too far away,,
HEMS,52.6868,1.6862,_429_WMO_03495_,17.2662,17,23.7543,8,,,1998 to 2000,yes,,,
HERM,51.4537,358.7161,_613_WMO_03658_,115.6902,57,22.572,8,,,2007 to present,yes,,,
HERO,50.8675,0.3357,_811_WMO_03882_,26.634,52,2.8293,8,,,2009 to present,yes,,,
HERS,50.8673,0.3363,_811_WMO_03882_,31.4682,52,2.8653,8,,,1997 to present,yes,,,
HERT,50.8675,0.3344,_811_WMO_03882_,38.312,52,2.7913,8,,,2003 to present,yes,,,
HLFX,44.6835,296.3887,_25195_WMO_71395_,24.7941,145,23.4222,4,,,2003 to present,yes,,,
HLFX,44.6835,296.3887,_18486_WMO_71601_,24.7941,51,10.4564,4,,,2003 to present,NO,inadequate data span (1997 to 2007),,
HNLC,21.3033,202.1355,_18821_WMO_91182_,6.6202,5,8.8005,5,,,1997 to present,yes,"adequate data span, data gap (1998)",,
HNLC,21.3033,202.1355,_18822_WMO_91190_,6.6202,20,155.3232,5,,,,,,,
HOB2,-42.8047,147.4387,_18000_WMO_94975_,44.5588,27,4.7944,5,,,1997 to present,yes,,,
HOFN,64.2673,344.8021,_17106_WMO_04082_,17.9792,17,3.7564,6,,,1997 to present,yes,,,
HOLB,50.6404,231.865,_17769_WMO_71109_,575.7411,22,54.4086,4,,,,,,,
HOLY,53.3177,355.3579,_1145_WMO_03302_,13.0572,10,10.1733,8,,,2005 to present,yes,,,
HOOB,53.4829,358.6203,_533_WMO_03355_,136.7184,8,41.0728,8,,,2004 to present,yes,,,
HORT,51.5484,355.7988,_1255_WMO_03609_,14.6266,43,15.3834,8,,,2005 to 2010,yes,,,
HRAO,-25.8901,27.687,_18473_WMO_68368_,1388.8881,1700,60.9595,1,,,,,,,
HUNG,51.4043,358.4861,_847_WMO_03749_,135.6762,90,28.6382,8,,,2010 to present,yes,,,
HURN,50.7794,358.1639,_842_WMO_03862_,9.4419,10,0.1045,8,,No more Special Stations Cluster,2005 to 2011,yes,,,
HYDE,17.4173,78.5509,_17464_WMO_43128_,518.6924,545,9.6256,2,,,2002 to present,yes,,,
IESG,52.9407,358.8077,_556_WMO_03354_,49.4122,117,8.1562,8,,,1997 to 2010,yes,,,
IISC,13.0212,77.5704,_19645_WMO_43233_,929.8978,724,182.6125,2,,,,,,,
INVE,57.4863,355.7807,_113_WMO_03063_,12.7732,228,39.0588,8,yes,inve invr,2000 to 2008,yes,,,
INVK,68.3062,226.473,_17799_WMO_71957_,49.3029,68,1.936,4,,,2001 to present,yes,adequate data span but data gap in (2007/2008),"Despite the inadequate data span, this was still the best option",
INVK,68.3062,226.473,_55627_WMO_71364_,49.3029,103,1.2719,4,,,2001 to present,NO,inadequate data span (2004-10 to 2010-10),,
INVR,57.4863,355.7807,_113_WMO_03063_,12.7967,228,39.0588,8,yes,inve invr,2009 to present,yes,,,
IOMN,54.3292,355.6115,_1046_WMO_03204_,40.1357,16,31.4244,8,,,2001 to 2006,yes,,,
IOMS,54.0867,355.3655,_1046_WMO_03204_,29.5558,16,0.3062,8,,,2001 to present,yes,,,
IRKJ,52.219,104.3162,_17047_WMO_30710_,540.5995,469,5.2304,2,,,2002 to present,yes,inadequate data span (2009 to present),"This is the longest time series we can get, will keep it because at least it is ongoing.",
IRKJ,52.219,104.3162,_23206_WMO_30713_,540.5995,526,73.2469,2,,,,,,,
IRKT,52.219,104.3162,_17047_WMO_30710_,540.8896,469,5.23,2,,,1997 to present,yes,"adequate data span,large data gap (2001 to 2008)","This is the longest time series we can get, will keep it because at least it is ongoing.",
IRKT,52.219,104.3162,_23206_WMO_30713_,540.8896,526,73.2449,2,,,,,,,
ISPA,-27.125,250.6556,_17905_WMO_85469_,117.4858,69,7.7124,3,,,2004 to present,yes,,,
